TransactionID,PurchasedParts,Source,PC Part
183.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']",,
184.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'EVGA 750W']",,
185.0,"['Intel i7', 'NVIDIA RTX 3060', 'Corsair 16GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']",,
186.0,"['Intel i5', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']",,
187.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']",,
188.0,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'MSI X570', 'EVGA 750W']",,
189.0,"['Intel i7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']",,
190.0,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']",,
191.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Cooler Master 850W']",,
192.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Kingston 32GB', 'WD HDD 2TB', 'Gigabyte B450', 'Corsair 650W']",,
193.0,"['Intel i7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']",,
194.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'Cooler Master 850W']",,
195.0,"['AMD Ryzen 7', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']",,
196.0,"['Intel i7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']",,
197.0,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']",,
198.0,"['Intel i7', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'EVGA 750W']",,
199.0,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'WD HDD 2TB', 'ASUS B550', 'Corsair 650W']",,
200.0,"['Intel i5', 'AMD RX 6700 XT', 'G.Skill 16GB', 'Samsung SSD 1TB', 'ASUS B550', 'Corsair 650W']",,
,,Newegg,Intel Core 2 Duo E6600 Processor
,,eBay,Apple iPhone 15 Pro 256gb ( Unlocked) US E-Sim Version. Excellent
,,eBay,Google Pixel 8 Pro 128GB Factory Unlocked - Excellent
,,eBay,"Apple Macbook Air MLY33LL/A 2022 M2 - Magsafe 3 - 13.6"" 8GB/256GB SSD Excellent"
,,eBay,Samsung Galaxy S21 5G SM-G991U 128GB 256GB Unlocked Very Good Refurbished
,,eBay,NEW UNLOCKED SAMSUNG GALAXY S20+ PLUS 5G SM-G986U 128GB BLACK GRAY GSM+CDMA
,,eBay,"HGST Ultrastar HUH728080ALE604 (0F23668) 8TB 7200RPM SATA 6Gb/s 3.5"" Hard Drive"
,,eBay,REDTIGER 4K Dash Cam Front and Rear Dual Dash Camera WIFI&GPS With 32GB SD Card
,,eBay,Hollyland Lark M2 Wireless Lavalier Microphone for iPhone/Android/Camera/PC/Lapt
,,eBay,Yugioh Speed Duel Battle City FINALS Brand New Factory Sealed
,,eBay,REDTIGER 4K Dual Dash Camera Front and Rear Dash Cam WIFI&GPS With 32GB SD Card
,,eBay,PUMA Men's Neutron Training Shoes
,,eBay,"Seagate EXOS X16 ST14000NM005G 14TB 256MB 7200rpm 3.5"" SATA 6Gb/s Enterprise HDD"
,,eBay,PUMA Men's Contempt Demi Training Shoes
,,eBay,PUMA Men's ST MILER Sneakers
,,eBay,Samsung Galaxy Watch5 Pro 45mm R925N GPS + Cellular - Good
