TransactionID,PurchasedParts
190,"['Intel i5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']"
191,"['Intel i5', 'NVIDIA RTX 3060', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
192,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'MSI X570', 'Corsair 650W']"
193,"['AMD Ryzen 5', 'NVIDIA RTX 3070', 'Corsair 16GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']"
194,"['AMD Ryzen 5', 'AMD RX 6700 XT', 'Kingston 32GB', 'Crucial SSD 500GB', 'MSI X570', 'EVGA 750W']"
195,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'Cooler Master 850W']"
196,"['AMD Ryzen 7', 'NVIDIA RTX 3060', 'G.Skill 16GB', 'WD HDD 2TB', 'ASUS B550', 'EVGA 750W']"
197,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'MSI X570', 'EVGA 750W']"
198,"['Intel i7', 'AMD RX 6700 XT', 'Kingston 32GB', 'Samsung SSD 1TB', 'ASUS B550', 'EVGA 750W']"
199,"['Intel i7', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Samsung SSD 1TB', 'Gigabyte B450', 'Corsair 650W']"
200,"['AMD Ryzen 5', 'NVIDIA RTX 3060', 'Kingston 32GB', 'Crucial SSD 500GB', 'ASUS B550', 'Corsair 650W']"
